Probenname	Abschnitt
25.1	Stomach Digesta
25.3	Stomach Mucosa 1
25.4	Stomach Mucosa 2
25.5	Stomach Mucosa 3
25.6	Duodenum Digesta
25.8	Duodenum Mucosa
25.9	Jejunum Digesta
25.11	Jejunum Mucosa
25.12	Ileum Digesta
25.14	Ileum Mucosa
25.15	Colon Digesta
25.17	Colon Mucosa
25.18	Caecum Digesta
25.20	Caecum Mucosa
26.1	Stomach Digesta
26.3	Stomach Mucosa 1
26.4	Stomach Mucosa 2
26.5	Stomach Mucosa 3
26.6	Duodenum Digesta
26.8	Duodenum Mucosa
26.9	Jejunum Digesta
26.11	Jejunum Mucosa
26.12	Ileum Digesta
26.14	Ileum Mucosa
26.15	Colon Digesta
26.17	Colon Mucosa
26.18	Caecum Digesta
26.20	Caecum Mucosa
27.1	Stomach Digesta
27.3	Stomach Mucosa 1
27.4	Stomach Mucosa 2
27.5	Stomach Mucosa 3
27.6	Duodenum Digesta
27.8	Duodenum Mucosa
27.9	Jejunum Digesta
27.11	Jejunum Mucosa
27.12	Ileum Digesta
27.14	Ileum Mucosa
27.15	Colon Digesta
27.17	Colon Mucosa
27.18	Caecum Digesta
27.20	Caecum Mucosa
28.1	Stomach Digesta
28.3	Stomach Mucosa 1
28.4	Stomach Mucosa 2
28.5	Stomach Mucosa 3
28.6	Duodenum Digesta
28.8	Duodenum Mucosa
28.9	Jejunum Digesta
28.11	Jejunum Mucosa
28.12	Ileum Digesta
28.14	Ileum Mucosa
28.15	Colon Digesta
28.17	Colon Mucosa
28.18	Caecum Digesta
28.20	Caecum Mucosa
29.1	Stomach Digesta
29.3	Stomach Mucosa 1
29.4	Stomach Mucosa 2
29.5	Stomach Mucosa 3
29.6	Duodenum Digesta
29.8	Duodenum Mucosa
29.9	Jejunum Digesta
29.11	Jejunum Mucosa
29.12	Ileum Digesta
29.14	Ileum Mucosa
29.15	Colon Digesta
29.17	Colon Mucosa
29.18	Caecum Digesta
29.20	Caecum Mucosa
30.1	Stomach Digesta
30.3	Stomach Mucosa 1
30.4	Stomach Mucosa 2
30.5	Stomach Mucosa 3
30.6	Duodenum Digesta
30.8	Duodenum Mucosa
30.9	Jejunum Digesta
30.11	Jejunum Mucosa
30.12	Ileum Digesta
30.14	Ileum Mucosa
30.15	Colon Digesta
30.17	Colon Mucosa
30.18	Caecum Digesta
30.20	Caecum Mucosa
31.1	Stomach Digesta
31.3	Stomach Mucosa 1
31.4	Stomach Mucosa 2
31.5	Stomach Mucosa 3
31.6	Duodenum Digesta
31.8	Duodenum Mucosa
31.9	Jejunum Digesta
31.11	Jejunum Mucosa
31.12	Ileum Digesta
31.14	Ileum Mucosa
31.15	Colon Digesta
31.17	Colon Mucosa
31.18	Caecum Digesta
31.20	Caecum Mucosa
32.1	Stomach Digesta
32.3	Stomach Mucosa 1
32.4	Stomach Mucosa 2
32.5	Stomach Mucosa 3
32.6	Duodenum Digesta
32.8	Duodenum Mucosa
32.9	Jejunum Digesta
32.11	Jejunum Mucosa
32.12	Ileum Digesta
32.14	Ileum Mucosa
32.15	Colon Digesta
32.17	Colon Mucosa
32.18	Caecum Digesta
32.20	Caecum Mucosa
33.1	Stomach Digesta
33.3	Stomach Mucosa 1
33.4	Stomach Mucosa 2
33.5	Stomach Mucosa 3
33.6	Duodenum Digesta
33.8	Duodenum Mucosa
33.9	Jejunum Digesta
33.11	Jejunum Mucosa
33.12	Ileum Digesta
33.14	Ileum Mucosa
33.15	Colon Digesta
33.17	Colon Mucosa
33.18	Caecum Digesta
33.20	Caecum Mucosa
34.1	Stomach Digesta
34.3	Stomach Mucosa 1
34.4	Stomach Mucosa 2
34.5	Stomach Mucosa 3
34.6	Duodenum Digesta
34.8	Duodenum Mucosa
34.9	Jejunum Digesta
34.11	Jejunum Mucosa
34.12	Ileum Digesta
34.14	Ileum Mucosa
34.15	Colon Digesta
34.17	Colon Mucosa
34.18	Caecum Digesta
34.20	Caecum Mucosa
35.1	Stomach Digesta
35.3	Stomach Mucosa 1
35.4	Stomach Mucosa 2
35.5	Stomach Mucosa 3
35.6	Duodenum Digesta
